wo_id,description,asset_tag,asset_class,area,install_date,age_days,task_type,priority,mandatory,estimated_cost_usd,mech_hours,elec_hours,inst_hours,civil_hours,total_craft_hours,duration_days,weibull_beta,weibull_eta,c_safety,c_env,c_prod,c_cost,replace_usd,predecessor_wo_id,priority_weight,asset_master_linked,asset_name,fitted_beta,fitted_eta,failure_prob,rul_days,weibull_source,consequence_score,likelihood_tier,consequence_tier,risk_score,risk_level,deferred_cost_usd,net_value_usd,selected,decision
WO-00072,Overhaul – Instrument/Analyser INST-0010,INST-0010,Inst,Unit-300,2023-05-01,1249,Overhaul,Medium,False,507949.81,191.6,26.3,16.8,4.9,239.60000000000002,30,1.8,730,2,1,3,2,4800,,2,True,Instrument/Analyser,1.8,730.0,0.7860048794806831,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1131.85,-506817.96,False,DEFER
WO-00073,Calibration – Piping/Pipeline Segment PPL-0025,PPL-0025,Ppl,Unit-100,2019-01-06,2825,Calibration,High,False,2243.11,0.8,6.8,11.0,0.6,19.200000000000003,2,2.0,3285,4,4,3,3,88000,WO-00039,3,True,Piping/Pipeline Segment,2.0,3285.0,0.18408902184514964,2159.7481198776095,asset_inline_fallback,3.65,3,4,12,HIGH,8869.41,6626.3,True,INCLUDE
WO-00074,Calibration – Instrument/Analyser INST-0169,INST-0169,Inst,Flare-System,2022-06-18,1566,Calibration,Medium,False,1621.58,1.9,5.4,4.3,0.2,11.8,1,1.8,730,2,1,3,2,4800,,2,True,Instrument/Analyser,1.8,730.0,0.8362856924436767,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1204.25,-417.33,False,DEFER
WO-00075,Cleaning – Instrument/Analyser INST-0146,INST-0146,Inst,Offsites,2021-07-27,1892,Cleaning,Medium,False,14257.23,21.1,0.5,1.3,7.6,30.5,4,1.8,730,2,1,3,2,4800,,2,True,Instrument/Analyser,1.8,730.0,0.8744478562191343,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1259.2,-12998.03,False,DEFER
WO-00076,Overhaul – Instrument/Analyser INST-0177,INST-0177,Inst,Flare-System,2021-10-15,1812,Overhaul,High,False,119671.0,122.8,41.0,46.2,15.9,225.9,28,1.8,730,2,1,3,2,4800,,3,True,Instrument/Analyser,1.8,730.0,0.8661094819219168,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1247.2,-118423.8,False,DEFER
WO-00077,Calibration – Heat Exchanger HX-0021,HX-0021,Hx,Unit-100,2014-03-11,4587,Calibration,Critical,True,2272.41,0.7,8.6,5.2,0.0,14.5,2,2.0,2190,4,3,5,4,195000,,4,True,Heat Exchanger,2.0,2190.0,0.5161359469070036,2190.0,asset_inline_fallback,4.0,4,4,16,HIGH,60387.91,58115.5,True,INCLUDE
WO-00078,Inspection – Pressure Vessel VSL-0027,VSL-0027,Vsl,Unit-200,2013-01-04,5018,Inspection,Critical,False,7104.07,5.4,0.5,2.7,0.4,9.000000000000002,1,2.8,3650,5,5,5,5,290000,,4,True,Pressure Vessel,2.8,3650.0,0.41122591027396627,3650.0,asset_inline_fallback,5.0,4,5,20,CRITICAL,89441.64,82337.57,True,INCLUDE
WO-00079,Inspection – Instrument/Analyser INST-0073,INST-0073,Inst,Unit-100,2015-03-09,4224,Inspection,Low,False,5453.77,3.1,1.6,1.8,0.7,7.2,1,1.8,730,2,1,3,2,4800,WO-00052,1,True,Instrument/Analyser,1.8,730.0,1.0,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1440.0,-4013.77,False,DEFER
WO-00080,Inspection – Reciprocating Compressor CMP-0015,CMP-0015,Cmp,Tank-Farm,2023-08-10,1148,Inspection,Critical,True,1241.92,9.6,0.9,3.5,0.0,14.0,2,3.0,1460,5,4,5,5,490000,,4,True,Reciprocating Compressor,3.0,1460.0,0.46567920999174583,779.9306990478883,asset_inline_fallback,4.75,4,5,20,CRITICAL,162580.25,161338.33,True,INCLUDE
WO-00081,Overhaul – Centrifugal Pump PMP-0074,PMP-0074,Pmp,Flare-System,2019-05-17,2694,Overhaul,Critical,True,533437.71,94.3,40.6,35.8,6.3,177.0,22,2.5,1825,3,2,4,3,48000,,4,True,Centrifugal Pump,2.5,1825.0,0.628385677260022,1825.0,asset_inline_fallback,3.0,5,3,15,HIGH,13573.13,-519864.58,True,INCLUDE
WO-00082,Replacement – Heat Exchanger HX-0005,HX-0005,Hx,Offsites,2021-02-19,2050,Replacement,High,False,55890.67,41.0,9.8,8.9,7.3,67.0,8,2.0,2190,4,3,5,4,195000,,3,True,Heat Exchanger,2.0,2190.0,0.28808882594821084,1273.1654139593652,asset_inline_fallback,4.0,3,4,12,HIGH,33706.39,-22184.28,False,DEFER
WO-00083,Overhaul – Electrical Equipment ELEC-0019,ELEC-0019,Elec,Unit-200,2021-07-11,1908,Overhaul,High,False,339335.46,84.4,36.6,24.3,11.3,156.60000000000002,20,2.0,1460,3,1,3,3,24000,,3,True,Electrical Equipment,2.0,1460.0,0.5112600143124145,307.4436089014298,asset_inline_fallback,2.5,4,2,8,MEDIUM,4601.34,-334734.12,False,DEFER
WO-00084,Cleaning – Instrument/Analyser INST-0117,INST-0117,Inst,Flare-System,2021-09-20,1837,Cleaning,Medium,False,15463.95,12.2,1.7,1.7,2.9,18.499999999999996,2,1.8,730,2,1,3,2,4800,,2,True,Instrument/Analyser,1.8,730.0,0.8687802204278058,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1251.04,-14212.91,False,DEFER
WO-00085,Replacement – Control Valve VLV-0043,VLV-0043,Vlv,Unit-300,2023-09-27,1100,Replacement,Medium,False,119967.21,19.7,7.0,12.8,3.4,42.9,5,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.4176358066104458,809.375016139692,asset_inline_fallback,2.65,4,3,12,HIGH,2241.14,-117726.07,False,DEFER
WO-00086,Overhaul – Instrument/Analyser INST-0167,INST-0167,Inst,Tank-Farm,2018-03-09,3128,Overhaul,High,False,144214.12,141.3,45.3,41.3,14.0,241.90000000000003,30,1.8,730,2,1,3,2,4800,,3,True,Instrument/Analyser,1.8,730.0,0.9510142594138229,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1369.46,-142844.66,False,DEFER
WO-00087,Inspection – Instrument/Analyser INST-0141,INST-0141,Inst,Unit-100,2020-02-20,2415,Inspection,Medium,False,7100.03,7.7,1.1,4.5,0.1,13.4,2,1.8,730,2,1,3,2,4800,,2,True,Instrument/Analyser,1.8,730.0,0.9166005543130264,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1319.9,-5780.13,False,DEFER
WO-00088,Replacement – Electrical Equipment ELEC-0036,ELEC-0036,Elec,Unit-300,2025-02-01,607,Replacement,Low,False,18866.41,32.2,9.0,22.8,3.9,67.9,8,2.0,1460,3,1,3,3,24000,,1,True,Electrical Equipment,2.0,1460.0,0.23690802597056904,1608.4433993319599,asset_inline_fallback,2.5,3,2,6,MEDIUM,2132.17,-16734.24,False,DEFER
WO-00089,Calibration – Storage Tank TNK-0009,TNK-0009,Tnk,Unit-200,2012-04-19,5278,Calibration,Critical,False,2070.19,1.8,5.3,10.2,0.2,17.499999999999996,2,3.5,5475,4,5,3,4,390000,,4,True,Storage Tank,3.5,5475.0,0.20701686080104298,1670.2321482110183,asset_inline_fallback,4.0,3,4,12,HIGH,48441.95,46371.76,True,INCLUDE
WO-00090,Repair – Electrical Equipment ELEC-0077,ELEC-0077,Elec,Offsites,2014-01-19,4638,Repair,High,False,39001.81,39.4,9.6,10.7,7.4,67.10000000000001,8,2.0,1460,3,1,3,3,24000,,3,True,Electrical Equipment,2.0,1460.0,0.8081144473017963,1460.0,asset_inline_fallback,2.5,5,2,10,HIGH,7273.03,-31728.78,False,DEFER
WO-00091,Calibration – Heat Exchanger HX-0033,HX-0033,Hx,Unit-200,2021-04-25,1985,Calibration,Critical,True,1963.41,1.6,4.0,14.1,0.2,19.9,2,2.0,2190,4,3,5,4,195000,,4,True,Heat Exchanger,2.0,2190.0,0.28101060843455783,1338.1654132918188,asset_inline_fallback,4.0,3,4,12,HIGH,32878.24,30914.83,True,INCLUDE
WO-00092,Calibration – Electrical Equipment ELEC-0007,ELEC-0007,Elec,Offsites,2012-05-21,5246,Calibration,Low,False,1968.67,0.4,8.9,4.9,0.6,14.8,2,2.0,1460,3,1,3,3,24000,WO-00053,1,True,Electrical Equipment,2.0,1460.0,0.8441833591770512,1460.0,asset_inline_fallback,2.5,5,2,10,HIGH,7597.65,5628.98,True,INCLUDE
WO-00093,Cleaning – Control Valve VLV-0112,VLV-0112,Vlv,Unit-200,2014-12-02,4321,Cleaning,High,False,20216.12,18.3,1.6,1.3,7.5,28.700000000000003,4,1.5,1095,3,2,3,2,13500,,3,True,Control Valve,1.5,1095.0,0.637209870254582,1095.0,asset_inline_fallback,2.65,5,3,15,HIGH,3419.43,-16796.69,False,DEFER
WO-00094,Calibration – Control Valve VLV-0119,VLV-0119,Vlv,Flare-System,2019-08-17,2602,Calibration,High,False,866.15,2.0,3.8,7.8,0.9,14.5,2,1.5,1095,3,2,3,2,13500,,3,True,Control Valve,1.5,1095.0,0.5494040910272064,1095.0,asset_inline_fallback,2.65,4,3,12,HIGH,2948.24,2082.09,True,INCLUDE
WO-00095,Replacement – Instrument/Analyser INST-0111,INST-0111,Inst,Flare-System,2014-10-23,4361,Replacement,High,False,87183.62,16.3,4.9,13.7,3.2,38.10000000000001,5,1.8,730,2,1,3,2,4800,,3,True,Instrument/Analyser,1.8,730.0,1.0,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1440.0,-85743.62,False,DEFER
WO-00096,Inspection – Instrument/Analyser INST-0083,INST-0083,Inst,Tank-Farm,2016-10-30,3623,Inspection,Critical,True,3341.33,4.5,0.1,3.5,0.6,8.7,1,1.8,730,2,1,3,2,4800,,4,True,Instrument/Analyser,1.8,730.0,0.965678909105745,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1390.58,-1950.75,True,INCLUDE
WO-00097,Replacement – Pressure Vessel VSL-0009,VSL-0009,Vsl,Unit-100,2017-07-10,3370,Replacement,Medium,False,105372.64,38.3,9.4,13.3,2.9,63.9,8,2.8,3650,5,5,5,5,290000,,2,True,Pressure Vessel,2.8,3650.0,0.23421207929068474,1546.4950998383265,asset_inline_fallback,5.0,3,5,15,HIGH,50941.13,-54431.51,False,DEFER
WO-00098,Repair – Piping/Pipeline Segment PPL-0045,PPL-0045,Ppl,Unit-100,2015-02-13,4248,Repair,Critical,True,73031.8,28.6,12.1,4.9,3.8,49.4,6,2.0,3285,4,4,3,3,88000,,4,True,Piping/Pipeline Segment,2.0,3285.0,0.2589687618937441,736.7481199779331,asset_inline_fallback,3.65,3,4,12,HIGH,12477.11,-60554.69,True,INCLUDE
WO-00099,Cleaning – Heat Exchanger HX-0029,HX-0029,Hx,Unit-200,2022-07-13,1541,Cleaning,Medium,False,5551.51,26.1,0.2,0.0,8.8,35.1,4,2.0,2190,4,3,5,4,195000,,2,True,Heat Exchanger,2.0,2190.0,0.2307419246351988,1782.1654133320676,asset_inline_fallback,4.0,3,4,12,HIGH,26996.81,21445.3,True,INCLUDE
WO-00100,Replacement – Centrifugal Pump PMP-0061,PMP-0061,Pmp,Utilities,2023-08-15,1143,Replacement,High,False,73482.47,19.6,5.0,13.4,4.2,42.2,5,2.5,1825,3,2,4,3,48000,,3,True,Centrifugal Pump,2.5,1825.0,0.2667165467217167,1404.7049532065412,asset_inline_fallback,3.0,3,3,9,MEDIUM,5761.08,-67721.39,False,DEFER
WO-00101,Replacement – Centrifugal Pump PMP-0019,PMP-0019,Pmp,Utilities,2025-02-20,588,Replacement,Medium,False,81236.69,47.9,5.0,4.9,5.0,62.8,8,2.5,1825,3,2,4,3,48000,,2,True,Centrifugal Pump,2.5,1825.0,0.12901124069274675,1959.7051834869512,asset_inline_fallback,3.0,2,3,6,MEDIUM,2786.64,-78450.05,False,DEFER
WO-00102,Cleaning – Electrical Equipment ELEC-0035,ELEC-0035,Elec,Offsites,2023-08-25,1133,Cleaning,Medium,False,17845.16,13.7,0.5,1.1,3.6,18.9,2,2.0,1460,3,1,3,3,24000,,2,True,Electrical Equipment,2.0,1460.0,0.36269931296999447,1082.4436088471707,asset_inline_fallback,2.5,4,2,8,MEDIUM,3264.29,-14580.87,False,DEFER
WO-00103,Inspection – Pressure Vessel VSL-0001,VSL-0001,Vsl,Tank-Farm,2018-01-06,3190,Inspection,Low,False,2755.35,6.1,1.0,3.4,0.4,10.9,1,2.8,3650,5,5,5,5,290000,,1,True,Pressure Vessel,2.8,3650.0,0.21574746746227422,1726.495095074487,asset_inline_fallback,5.0,3,5,15,HIGH,46925.07,44169.72,True,INCLUDE
WO-00104,Repair – Pressure Vessel VSL-0020,VSL-0020,Vsl,Offsites,2024-04-06,908,Repair,Critical,True,70570.85,65.9,20.5,13.0,4.9,104.30000000000001,13,2.8,3650,5,5,5,5,290000,,4,True,Pressure Vessel,2.8,3650.0,0.03153037313281988,4008.495097274088,asset_inline_fallback,5.0,1,5,5,MEDIUM,6857.86,-63712.99,True,INCLUDE
WO-00105,Cleaning – Instrument/Analyser INST-0112,INST-0112,Inst,Unit-100,2013-08-16,4794,Cleaning,Medium,False,1612.76,4.2,1.7,0.1,6.2,12.2,2,1.8,730,2,1,3,2,4800,,2,True,Instrument/Analyser,1.8,730.0,1.0,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1440.0,-172.76,False,DEFER
WO-00106,Inspection – Pressure Vessel VSL-0019,VSL-0019,Vsl,Unit-200,2014-01-16,4641,Inspection,Critical,False,7228.41,3.5,1.8,4.1,0.2,9.599999999999998,1,2.8,3650,5,5,5,5,290000,,4,True,Pressure Vessel,2.8,3650.0,0.3703733619900531,275.4953402408555,asset_inline_fallback,5.0,4,5,20,CRITICAL,80556.21,73327.8,True,INCLUDE
WO-00107,Replacement – Instrument/Analyser INST-0065,INST-0065,Inst,Unit-200,2018-05-28,3048,Replacement,High,False,50764.32,20.8,20.0,8.6,8.5,57.9,7,1.8,730,2,1,3,2,4800,WO-00038,3,True,Instrument/Analyser,1.8,730.0,0.948064916712482,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1365.21,-49399.11,False,DEFER
WO-00108,Testing – Centrifugal Pump PMP-0037,PMP-0037,Pmp,Unit-200,2015-11-20,3968,Testing,Critical,True,3770.09,9.6,15.2,6.4,1.6,32.8,4,2.5,1825,3,2,4,3,48000,,4,True,Centrifugal Pump,2.5,1825.0,0.820084003388241,1825.0,asset_inline_fallback,3.0,5,3,15,HIGH,17713.81,13943.72,True,INCLUDE
WO-00109,Cleaning – Heat Exchanger HX-0018,HX-0018,Hx,Unit-200,2021-02-10,2059,Cleaning,Critical,True,14191.21,18.5,0.1,0.3,3.3,22.200000000000003,3,2.0,2190,4,3,5,4,195000,,4,True,Heat Exchanger,2.0,2190.0,0.28906337908004,1264.1654138826616,asset_inline_fallback,4.0,3,4,12,HIGH,33820.42,19629.21,True,INCLUDE
WO-00110,Inspection – Piping/Pipeline Segment PPL-0003,PPL-0003,Ppl,Utilities,2015-05-08,4164,Inspection,High,False,7422.22,6.1,1.2,2.4,0.3,10.0,1,2.0,3285,4,4,3,3,88000,,3,True,Piping/Pipeline Segment,2.0,3285.0,0.25474594339837664,820.7481200278899,asset_inline_fallback,3.65,3,4,12,HIGH,12273.66,4851.44,True,INCLUDE
WO-00111,Replacement – Pressure Vessel VSL-0028,VSL-0028,Vsl,Flare-System,2016-07-27,3718,Replacement,High,False,44519.28,31.5,11.1,23.7,3.0,69.3,9,2.8,3650,5,5,5,5,290000,,3,True,Pressure Vessel,2.8,3650.0,0.2707222917747786,1198.495104398131,asset_inline_fallback,5.0,3,5,15,HIGH,58882.1,14362.82,False,DEFER
WO-00112,Inspection – Heat Exchanger HX-0025,HX-0025,Hx,Unit-200,2021-10-25,1802,Inspection,Critical,False,3189.99,7.7,0.3,3.3,0.4,11.700000000000001,1,2.0,2190,4,3,5,4,195000,,4,True,Heat Exchanger,2.0,2190.0,0.2607024456753679,1521.1654132432104,asset_inline_fallback,4.0,3,4,12,HIGH,30502.19,27312.2,True,INCLUDE
WO-00113,Testing – Control Valve VLV-0098,VLV-0098,Vlv,Flare-System,2014-08-17,4428,Testing,Medium,False,6497.25,16.1,12.3,22.7,0.6,51.7,6,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.6415293254792611,1095.0,asset_inline_fallback,2.65,5,3,15,HIGH,3442.61,-3054.64,False,DEFER
WO-00114,Calibration – Control Valve VLV-0076,VLV-0076,Vlv,Unit-300,2022-07-01,1553,Calibration,Medium,False,1162.27,0.7,10.0,12.9,0.7,24.3,3,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.46697112519479306,356.375041611647,asset_inline_fallback,2.65,4,3,12,HIGH,2505.88,1343.61,True,INCLUDE
WO-00115,Repair – Control Valve VLV-0038,VLV-0038,Vlv,Tank-Farm,2015-04-25,4177,Repair,Low,False,69222.36,59.8,11.7,2.4,6.5,80.4,10,1.5,1095,3,2,3,2,13500,,1,True,Control Valve,1.5,1095.0,0.6312307612993796,1095.0,asset_inline_fallback,2.65,5,3,15,HIGH,3387.34,-65835.02,False,DEFER
WO-00116,Overhaul – Control Valve VLV-0050,VLV-0050,Vlv,Utilities,2017-06-25,3385,Overhaul,Medium,False,111353.09,97.6,29.4,43.1,7.4,177.5,22,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.5944036460133602,1095.0,asset_inline_fallback,2.65,4,3,12,HIGH,3189.72,-108163.37,False,DEFER
WO-00117,Calibration – Instrument/Analyser INST-0162,INST-0162,Inst,Utilities,2022-12-04,1397,Calibration,Critical,False,2820.93,0.2,9.4,13.6,0.8,24.0,3,1.8,730,2,1,3,2,4800,,4,True,Instrument/Analyser,1.8,730.0,0.8114115365112596,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1168.43,-1652.5,False,DEFER
WO-00118,Overhaul – Centrifugal Pump PMP-0067,PMP-0067,Pmp,Unit-300,2012-04-17,5280,Overhaul,Critical,True,379238.36,101.4,26.1,31.3,15.1,173.9,22,2.5,1825,3,2,4,3,48000,,4,True,Centrifugal Pump,2.5,1825.0,0.9249458211658662,1825.0,asset_inline_fallback,3.0,5,3,15,HIGH,19978.83,-359259.53,True,INCLUDE
WO-00119,Overhaul – Control Valve VLV-0060,VLV-0060,Vlv,Flare-System,2018-06-04,3041,Overhaul,High,False,140083.62,223.3,49.0,20.6,7.5,300.40000000000003,38,1.5,1095,3,2,3,2,13500,,3,True,Control Valve,1.5,1095.0,0.5758914443409623,1095.0,asset_inline_fallback,2.65,4,3,12,HIGH,3090.38,-136993.24,False,DEFER
WO-00120,Overhaul – Distillation Tower TWR-0011,TWR-0011,Twr,Unit-100,2018-09-10,2943,Overhaul,Medium,False,526585.78,140.0,10.3,9.7,8.5,168.5,21,2.2,2920,5,5,5,5,980000,WO-00098,2,True,Distillation Tower,2.2,2920.0,0.2580144345603847,1323.0540205976113,asset_inline_fallback,5.0,3,5,15,HIGH,189640.61,-336945.17,False,DEFER
WO-00121,Cleaning – Instrument/Analyser INST-0044,INST-0044,Inst,Unit-200,2018-06-22,3023,Cleaning,Low,False,14510.99,11.7,1.9,0.7,8.7,23.0,3,1.8,730,2,1,3,2,4800,,1,True,Instrument/Analyser,1.8,730.0,0.9471041889804567,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1363.83,-13147.16,False,DEFER
WO-00122,Overhaul – Electrical Equipment ELEC-0076,ELEC-0076,Elec,Unit-300,2021-08-17,1871,Overhaul,High,False,538159.22,95.4,35.7,11.7,13.5,156.3,20,2.0,1460,3,1,3,3,24000,,3,True,Electrical Equipment,2.0,1460.0,0.5050276738072192,344.4436085827133,asset_inline_fallback,2.5,4,2,8,MEDIUM,4545.25,-533613.97,False,DEFER
WO-00123,Inspection – Storage Tank TNK-0018,TNK-0018,Tnk,Tank-Farm,2017-10-11,3277,Inspection,Low,False,627.57,4.6,1.2,2.8,0.3,8.9,1,3.5,5475,4,5,3,4,390000,,1,True,Storage Tank,3.5,5475.0,0.07149825583045817,3671.2321450835507,asset_inline_fallback,4.0,2,4,8,MEDIUM,16730.59,16103.02,True,INCLUDE
WO-00124,Testing – Control Valve VLV-0053,VLV-0053,Vlv,Utilities,2013-07-05,4836,Testing,Medium,False,2321.97,9.5,17.0,18.7,0.7,45.900000000000006,6,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.6571116485340291,1095.0,asset_inline_fallback,2.65,5,3,15,HIGH,3526.23,1204.26,True,INCLUDE
WO-00125,Inspection – Instrument/Analyser INST-0043,INST-0043,Inst,Flare-System,2018-09-15,2938,Inspection,High,False,3055.41,7.7,1.3,4.3,0.0,13.3,2,1.8,730,2,1,3,2,4800,,3,True,Instrument/Analyser,1.8,730.0,0.9436906407576829,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1358.91,-1696.5,False,DEFER
WO-00126,Inspection – Centrifugal Pump PMP-0014,PMP-0014,Pmp,Offsites,2015-02-23,4238,Inspection,Critical,True,2021.65,2.0,1.0,3.1,0.7,6.8,1,2.5,1825,3,2,4,3,48000,,4,True,Centrifugal Pump,2.5,1825.0,0.8482130896941783,1825.0,asset_inline_fallback,3.0,5,3,15,HIGH,18321.4,16299.75,True,INCLUDE
WO-00127,Inspection – Instrument/Analyser INST-0092,INST-0092,Inst,Unit-300,2013-01-10,5012,Inspection,Low,False,5586.79,2.4,1.7,1.1,0.5,5.699999999999999,1,1.8,730,2,1,3,2,4800,,1,True,Instrument/Analyser,1.8,730.0,1.0,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1440.0,-4146.79,False,DEFER
WO-00128,Cleaning – Heat Exchanger HX-0016,HX-0016,Hx,Flare-System,2017-10-02,3286,Cleaning,Low,False,15602.0,20.4,0.2,1.3,9.0,30.9,4,2.0,2190,4,3,5,4,195000,,1,True,Heat Exchanger,2.0,2190.0,0.4101753471295694,37.16522007819958,asset_inline_fallback,4.0,4,4,16,HIGH,47990.52,32388.52,True,INCLUDE
WO-00129,Overhaul – Centrifugal Pump PMP-0046,PMP-0046,Pmp,Unit-300,2025-04-27,522,Overhaul,Critical,False,216535.34,190.7,30.8,18.8,7.4,247.70000000000002,31,2.5,1825,3,2,4,3,48000,,4,True,Centrifugal Pump,2.5,1825.0,0.11390405586918234,2025.7049909801835,asset_inline_fallback,3.0,2,3,6,MEDIUM,2460.33,-214075.01,False,DEFER
WO-00130,Overhaul – Instrument/Analyser INST-0126,INST-0126,Inst,Unit-200,2024-07-25,798,Overhaul,Critical,False,114522.78,43.9,10.2,47.1,5.5,106.69999999999999,13,1.8,730,2,1,3,2,4800,WO-00048,4,True,Instrument/Analyser,1.8,730.0,0.6797059286772663,362.2560218689762,asset_inline_fallback,2.0,5,2,10,HIGH,978.78,-113544.0,False,DEFER
WO-00131,Overhaul – Heat Exchanger HX-0031,HX-0031,Hx,Unit-300,2020-07-24,2260,Overhaul,Critical,False,158383.67,232.5,46.3,25.0,13.0,316.8,40,2.0,2190,4,3,5,4,195000,,4,True,Heat Exchanger,2.0,2190.0,0.3104841547417238,1063.1651658234573,asset_inline_fallback,4.0,3,4,12,HIGH,36326.65,-122057.02,False,DEFER
WO-00132,Inspection – Instrument/Analyser INST-0005,INST-0005,Inst,Offsites,2012-01-15,5373,Inspection,High,False,2767.07,3.0,0.2,3.2,0.1,6.5,1,1.8,730,2,1,3,2,4800,,3,True,Instrument/Analyser,1.8,730.0,1.0,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1440.0,-1327.07,False,DEFER
WO-00133,Overhaul – Centrifugal Pump PMP-0063,PMP-0063,Pmp,Unit-200,2020-06-02,2312,Overhaul,Medium,False,273735.18,67.5,8.2,16.1,8.7,100.50000000000001,13,2.5,1825,3,2,4,3,48000,WO-00065,2,True,Centrifugal Pump,2.5,1825.0,0.5504653732434661,235.70507976263525,asset_inline_fallback,3.0,4,3,12,HIGH,11890.05,-261845.13,False,DEFER
WO-00134,Repair – Instrument/Analyser INST-0172,INST-0172,Inst,Unit-200,2015-05-14,4158,Repair,High,False,33663.66,45.3,22.5,13.3,2.7,83.8,10,1.8,730,2,1,3,2,4800,,3,True,Instrument/Analyser,1.8,730.0,1.0,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1440.0,-32223.66,False,DEFER
WO-00135,Overhaul – Electrical Equipment ELEC-0004,ELEC-0004,Elec,Utilities,2014-09-25,4389,Overhaul,Medium,False,345424.59,67.7,20.3,20.8,9.2,118.0,15,2.0,1460,3,1,3,3,24000,,2,True,Electrical Equipment,2.0,1460.0,0.7910336807215057,1460.0,asset_inline_fallback,2.5,5,2,10,HIGH,7119.3,-338305.29,False,DEFER
WO-00136,Cleaning – Instrument/Analyser INST-0066,INST-0066,Inst,Offsites,2023-06-18,1201,Cleaning,Critical,False,13225.36,8.8,0.2,1.6,5.8,16.4,2,1.8,730,2,1,3,2,4800,,4,True,Instrument/Analyser,1.8,730.0,0.7769270665833161,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1118.77,-12106.59,False,DEFER
WO-00137,Replacement – Electrical Equipment ELEC-0048,ELEC-0048,Elec,Unit-200,2022-03-12,1664,Replacement,Medium,False,97463.88,47.1,17.8,16.0,4.8,85.7,11,2.0,1460,3,1,3,3,24000,WO-00091,2,True,Electrical Equipment,2.0,1460.0,0.46866523493316403,551.4436590123983,asset_inline_fallback,2.5,4,2,8,MEDIUM,4217.99,-93245.89,False,DEFER
WO-00138,Inspection – Pressure Vessel VSL-0020,VSL-0020,Vsl,Offsites,2024-04-06,908,Inspection,Critical,True,5415.91,6.7,0.3,4.5,0.4,11.9,1,2.8,3650,5,5,5,5,290000,,4,True,Pressure Vessel,2.8,3650.0,0.03153037313281988,4008.495097274088,asset_inline_fallback,5.0,1,5,5,MEDIUM,6857.86,1441.95,True,INCLUDE
WO-00139,Replacement – Reciprocating Compressor CMP-0002,CMP-0002,Cmp,Utilities,2023-06-13,1206,Replacement,Medium,False,105033.52,55.7,10.8,23.1,8.9,98.5,12,3.0,1460,5,4,5,5,490000,,2,True,Reciprocating Compressor,3.0,1460.0,0.49451963436752233,721.9306871958063,asset_inline_fallback,4.75,4,5,20,CRITICAL,172649.17,67615.65,True,INCLUDE
WO-00140,Repair – Heat Exchanger HX-0015,HX-0015,Hx,Utilities,2018-11-20,2872,Repair,Medium,False,31786.28,77.6,19.0,15.0,2.6,114.19999999999999,14,2.0,2190,4,3,5,4,195000,,2,True,Heat Exchanger,2.0,2190.0,0.37181230900080825,451.16541335304555,asset_inline_fallback,4.0,4,4,16,HIGH,43502.04,11715.76,True,INCLUDE
WO-00141,Testing – Control Valve VLV-0004,VLV-0004,Vlv,Unit-200,2025-07-22,436,Testing,Medium,False,4888.62,19.8,11.6,8.0,0.2,39.6,5,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.3122934176080801,1473.3749938877686,asset_inline_fallback,2.65,3,3,9,MEDIUM,1675.84,-3212.78,False,DEFER
WO-00142,Cleaning – Reciprocating Compressor CMP-0010,CMP-0010,Cmp,Flare-System,2020-07-10,2274,Cleaning,High,False,8371.15,18.6,0.7,0.9,8.9,29.1,4,3.0,1460,5,4,5,5,490000,,3,True,Reciprocating Compressor,3.0,1460.0,0.8808172641333982,1460.0,asset_inline_fallback,4.75,5,5,25,CRITICAL,307515.33,299144.18,True,INCLUDE
