asset_tag,asset_class,failure_no,time_to_failure_d,failure_date,failure_mode,severity
HX-0031,HX,2,1613.93,2024-12-23,Wear,4
HX-0031,HX,3,2826.37,2026-10-01,Seal Failure,2
HX-0031,HX,4,3539.47,2026-10-01,Corrosion,4
HX-0032,HX,1,553.02,2015-12-16,Wear,3
HX-0032,HX,2,728.46,2016-06-08,Blockage,1
HX-0032,HX,3,957.25,2017-01-23,Fouling,3
HX-0032,HX,4,3242.6,2023-04-27,Blockage,2
HX-0032,HX,5,3265.88,2023-05-20,Fouling,4
HX-0033,HX,1,822.17,2023-07-26,Leakage,4
HX-0033,HX,2,1545.59,2025-07-18,Bearing Failure,4
HX-0034,HX,1,1126.85,2024-10-06,Fouling,3
HX-0034,HX,2,1474.1,2025-09-19,Bearing Failure,1
HX-0034,HX,3,1670.64,2026-04-03,Leakage,4
HX-0034,HX,4,2024.27,2026-10-01,Bearing Failure,2
HX-0034,HX,5,3497.64,2026-10-01,Fatigue,3
HX-0035,HX,1,819.8,2020-10-15,Bearing Failure,5
HX-0035,HX,2,1341.93,2022-03-21,Blockage,4
HX-0035,HX,3,1649.4,2023-01-23,Fatigue,3
HX-0035,HX,4,2429.47,2025-03-13,Fouling,4
HX-0035,HX,5,3370.75,2026-10-01,Leakage,2
CMP-0001,CMP,1,821.3,2014-11-26,Bearing Failure,3
CMP-0001,CMP,2,961.95,2015-04-15,Fouling,3
CMP-0001,CMP,3,1682.65,2017-04-05,Corrosion,3
CMP-0001,CMP,4,1726.27,2017-05-19,Bearing Failure,2
CMP-0002,CMP,1,747.13,2025-06-29,Corrosion,2
CMP-0002,CMP,2,1829.39,2026-10-01,Bearing Failure,1
CMP-0003,CMP,1,1011.76,2022-06-07,Blockage,4
CMP-0003,CMP,2,1162.61,2022-11-05,Fatigue,3
CMP-0003,CMP,3,1243.02,2023-01-25,Wear,1
CMP-0003,CMP,4,1578.9,2023-12-26,Blockage,5
CMP-0003,CMP,5,1832.78,2024-09-05,Corrosion,2
CMP-0004,CMP,1,258.62,2012-07-28,Fatigue,2
CMP-0004,CMP,2,1348.61,2015-07-23,Seal Failure,1
CMP-0005,CMP,1,881.44,2017-09-09,Leakage,1
CMP-0005,CMP,2,1447.19,2019-03-29,Bearing Failure,5
CMP-0005,CMP,3,1611.5,2019-09-09,Corrosion,4
CMP-0005,CMP,4,1765.58,2020-02-10,Fatigue,4
CMP-0005,CMP,5,2058.8,2020-11-29,Fouling,5
CMP-0005,CMP,6,2092.71,2021-01-02,Corrosion,2
CMP-0006,CMP,1,797.27,2015-06-22,Fatigue,2
CMP-0006,CMP,2,1334.77,2016-12-10,Corrosion,4
CMP-0006,CMP,3,1758.25,2018-02-07,Seal Failure,5
CMP-0007,CMP,1,651.51,2020-04-10,Wear,3
CMP-0007,CMP,2,678.19,2020-05-07,Fouling,2
CMP-0007,CMP,3,735.01,2020-07-03,Leakage,3
CMP-0007,CMP,4,857.58,2020-11-02,Bearing Failure,1
CMP-0007,CMP,5,1689.07,2023-02-12,Leakage,2
CMP-0008,CMP,1,1282.7,2024-11-03,Leakage,2
CMP-0008,CMP,2,1370.02,2025-01-30,Corrosion,2
CMP-0008,CMP,3,1546.81,2025-07-25,Fatigue,1
CMP-0008,CMP,4,1765.12,2026-03-01,Corrosion,2
CMP-0009,CMP,1,725.41,2018-06-24,Fouling,4
CMP-0009,CMP,2,836.2,2018-10-13,Corrosion,5
CMP-0009,CMP,3,1053.48,2019-05-18,Leakage,1
CMP-0009,CMP,4,2037.56,2022-01-26,Fatigue,1
CMP-0010,CMP,1,447.51,2021-09-30,Corrosion,1
CMP-0010,CMP,2,1126.15,2023-08-10,Fouling,4
CMP-0010,CMP,3,1303.8,2024-02-03,Fatigue,5
CMP-0011,CMP,1,1198.29,2018-08-01,Corrosion,3
CMP-0011,CMP,2,1240.6,2018-09-12,Leakage,1
CMP-0011,CMP,3,1636.21,2019-10-13,Blockage,2
CMP-0012,CMP,1,834.65,2024-05-12,Bearing Failure,1
CMP-0012,CMP,2,947.23,2024-09-02,Leakage,4
CMP-0012,CMP,3,1207.9,2025-05-20,Blockage,3
CMP-0012,CMP,4,1215.0,2025-05-28,Seal Failure,3
CMP-0013,CMP,1,926.4,2024-11-30,Blockage,3
CMP-0013,CMP,2,1016.87,2025-02-28,Leakage,2
CMP-0013,CMP,3,1428.82,2026-04-16,Fouling,4
CMP-0013,CMP,4,1493.0,2026-06-19,Wear,4
CMP-0013,CMP,5,2034.31,2026-10-01,Wear,3
CMP-0013,CMP,6,2081.43,2026-10-01,Fouling,3
CMP-0014,CMP,1,581.95,2025-08-16,Fouling,3
CMP-0014,CMP,2,654.0,2025-10-27,Seal Failure,4
CMP-0014,CMP,3,1695.16,2026-10-01,Seal Failure,4
CMP-0014,CMP,4,1776.66,2026-10-01,Leakage,5
CMP-0015,CMP,1,519.23,2025-01-10,Corrosion,1
CMP-0015,CMP,2,1114.53,2026-08-28,Leakage,1
CMP-0016,CMP,1,1093.48,2026-03-27,Blockage,4
CMP-0016,CMP,2,1139.19,2026-05-12,Leakage,1
CMP-0016,CMP,3,1420.35,2026-10-01,Blockage,1
CMP-0016,CMP,4,1623.58,2026-10-01,Fatigue,1
CMP-0016,CMP,5,1919.78,2026-10-01,Fouling,4
CMP-0016,CMP,6,2003.8,2026-10-01,Fatigue,5
CMP-0017,CMP,1,806.26,2015-09-21,Blockage,3
CMP-0017,CMP,2,957.76,2016-02-19,Fatigue,5
CMP-0017,CMP,3,1204.75,2016-10-23,Seal Failure,4
CMP-0017,CMP,4,1408.1,2017-05-15,Fatigue,2
CMP-0017,CMP,5,1506.45,2017-08-21,Corrosion,2
CMP-0018,CMP,1,669.07,2024-11-01,Wear,4
CMP-0018,CMP,2,1522.97,2026-10-01,Blockage,4
VLV-0001,VLV,1,274.41,2015-08-17,Leakage,1
VLV-0001,VLV,2,1057.9,2017-10-08,Bearing Failure,4
VLV-0001,VLV,3,1388.22,2018-09-04,Corrosion,4
VLV-0001,VLV,4,3640.52,2024-11-03,Corrosion,2
VLV-0002,VLV,1,641.04,2013-11-28,Fatigue,5
VLV-0002,VLV,2,696.28,2014-01-22,Blockage,4
VLV-0002,VLV,3,704.69,2014-01-30,Corrosion,2
VLV-0002,VLV,4,824.4,2014-05-30,Bearing Failure,5
VLV-0002,VLV,5,1105.61,2015-03-07,Leakage,3
VLV-0002,VLV,6,1614.51,2016-07-28,Corrosion,5
VLV-0003,VLV,1,200.82,2024-04-14,Blockage,3
VLV-0003,VLV,2,666.01,2025-07-24,Fatigue,1
VLV-0003,VLV,3,797.42,2025-12-02,Fouling,5
VLV-0004,VLV,1,257.27,2026-04-05,Fatigue,4
VLV-0004,VLV,2,677.86,2026-10-01,Leakage,4
VLV-0004,VLV,3,776.3,2026-10-01,Leakage,3
VLV-0004,VLV,4,1347.24,2026-10-01,Fouling,4
VLV-0005,VLV,1,428.83,2025-01-29,Corrosion,4
VLV-0005,VLV,2,787.26,2026-01-23,Wear,3
VLV-0005,VLV,3,810.65,2026-02-15,Seal Failure,2
VLV-0005,VLV,4,991.55,2026-08-15,Blockage,5
VLV-0005,VLV,5,1005.2,2026-08-29,Wear,2
VLV-0005,VLV,6,1020.2,2026-09-13,Corrosion,5
VLV-0006,VLV,1,185.81,2016-10-11,Leakage,4
VLV-0006,VLV,2,390.92,2017-05-04,Wear,1
VLV-0006,VLV,3,571.17,2017-11-01,Fouling,2
VLV-0006,VLV,4,1384.62,2020-01-23,Bearing Failure,1
VLV-0007,VLV,1,692.56,2020-07-24,Corrosion,1
VLV-0007,VLV,2,1613.37,2023-01-31,Corrosion,3
VLV-0007,VLV,3,2634.29,2025-11-17,Fouling,3
VLV-0008,VLV,1,28.61,2016-02-12,Leakage,3
VLV-0008,VLV,2,113.24,2016-05-07,Bearing Failure,4
VLV-0008,VLV,3,1046.43,2018-11-26,Bearing Failure,1
VLV-0008,VLV,4,1132.81,2019-02-20,Blockage,1
VLV-0009,VLV,1,123.9,2023-04-18,Fouling,2
VLV-0009,VLV,2,217.14,2023-07-21,Blockage,1
VLV-0009,VLV,3,1430.81,2026-10-01,Corrosion,5
VLV-0009,VLV,4,1714.02,2026-10-01,Bearing Failure,1
VLV-0010,VLV,1,403.79,2015-08-09,Wear,3
VLV-0010,VLV,2,440.12,2015-09-15,Fouling,1
VLV-0010,VLV,3,1257.09,2017-12-10,Corrosion,1
VLV-0010,VLV,4,1279.1,2018-01-01,Corrosion,3
VLV-0010,VLV,5,1374.18,2018-04-06,Fouling,2
VLV-0011,VLV,1,255.48,2016-02-10,Leakage,2
VLV-0011,VLV,2,560.34,2016-12-11,Blockage,3
VLV-0011,VLV,3,1334.62,2019-01-24,Leakage,4
VLV-0012,VLV,1,334.91,2024-10-31,Fatigue,1
VLV-0012,VLV,2,674.47,2025-10-06,Fatigue,2
VLV-0012,VLV,3,809.67,2026-02-18,Corrosion,1
VLV-0013,VLV,1,4.59,2012-10-14,Fouling,5
VLV-0013,VLV,2,336.91,2013-09-11,Corrosion,3
VLV-0013,VLV,3,534.8,2014-03-28,Leakage,4
VLV-0013,VLV,4,586.35,2014-05-19,Fouling,2
VLV-0013,VLV,5,1314.52,2016-05-16,Wear,1
VLV-0013,VLV,6,1578.44,2017-02-04,Corrosion,4
VLV-0014,VLV,1,977.19,2022-11-12,Leakage,1
VLV-0014,VLV,2,1284.12,2023-09-15,Corrosion,2
VLV-0014,VLV,3,1777.84,2025-01-20,Blockage,4
VLV-0014,VLV,4,1930.64,2025-06-22,Leakage,2
VLV-0014,VLV,5,2517.83,2026-10-01,Leakage,1
VLV-0015,VLV,1,232.73,2019-07-21,Wear,5
VLV-0015,VLV,2,1134.39,2022-01-08,Leakage,3
VLV-0015,VLV,3,1810.21,2023-11-15,Fatigue,1
VLV-0016,VLV,1,210.41,2017-01-19,Leakage,4
VLV-0016,VLV,2,612.63,2018-02-25,Corrosion,1
VLV-0016,VLV,3,629.1,2018-03-14,Leakage,1
VLV-0016,VLV,4,1249.8,2019-11-24,Blockage,1
VLV-0016,VLV,5,2243.21,2022-08-14,Bearing Failure,5
VLV-0017,VLV,1,557.75,2023-04-09,Blockage,1
VLV-0017,VLV,2,615.31,2023-06-06,Seal Failure,5
VLV-0017,VLV,3,2307.11,2026-10-01,Bearing Failure,1
VLV-0017,VLV,4,2448.7,2026-10-01,Leakage,1
VLV-0018,VLV,1,893.67,2015-04-05,Fatigue,3
VLV-0018,VLV,2,989.41,2015-07-10,Wear,5
VLV-0018,VLV,3,1506.09,2016-12-08,Corrosion,2
VLV-0018,VLV,4,1539.22,2017-01-10,Seal Failure,4
VLV-0018,VLV,5,1628.12,2017-04-09,Seal Failure,3
VLV-0019,VLV,1,697.05,2019-11-22,Fouling,5
VLV-0019,VLV,2,782.64,2020-02-15,Leakage,5
VLV-0019,VLV,3,1037.97,2020-10-27,Blockage,4
VLV-0019,VLV,4,1215.9,2021-04-23,Corrosion,4
VLV-0020,VLV,1,948.54,2019-06-24,Bearing Failure,2
VLV-0020,VLV,2,1118.49,2019-12-11,Seal Failure,4
VLV-0020,VLV,3,1519.61,2021-01-15,Corrosion,2
VLV-0020,VLV,4,1616.85,2021-04-22,Leakage,3
VLV-0020,VLV,5,2015.35,2022-05-26,Blockage,1
VLV-0021,VLV,1,600.98,2025-06-06,Blockage,1
VLV-0021,VLV,2,668.63,2025-08-13,Blockage,2
VLV-0021,VLV,3,704.15,2025-09-18,Fatigue,2
VLV-0021,VLV,4,992.28,2026-07-03,Bearing Failure,4
VLV-0021,VLV,5,1337.08,2026-10-01,Fouling,1
VLV-0022,VLV,1,18.25,2019-12-09,Wear,3
VLV-0022,VLV,2,45.54,2020-01-05,Fouling,4
VLV-0022,VLV,3,629.94,2021-08-11,Blockage,1
VLV-0022,VLV,4,722.2,2021-11-12,Fatigue,3
VLV-0022,VLV,5,1050.61,2022-10-06,Leakage,4
VLV-0022,VLV,6,1438.17,2023-10-29,Fouling,4
VLV-0023,VLV,1,823.29,2019-09-01,Blockage,4
VLV-0023,VLV,2,1147.43,2020-07-21,Fatigue,2
VLV-0023,VLV,3,1169.41,2020-08-12,Leakage,2
VLV-0023,VLV,4,1571.5,2021-09-18,Fatigue,2
VLV-0023,VLV,5,1573.44,2021-09-20,Seal Failure,2
VLV-0023,VLV,6,1712.98,2022-02-06,Bearing Failure,5
VLV-0024,VLV,1,65.76,2012-11-16,Wear,3
VLV-0024,VLV,2,436.4,2013-11-22,Corrosion,5
VLV-0024,VLV,3,932.3,2015-04-02,Bearing Failure,2
VLV-0024,VLV,4,1579.84,2017-01-08,Seal Failure,4
VLV-0024,VLV,5,1678.36,2017-04-17,Fouling,3
VLV-0024,VLV,6,1917.33,2017-12-12,Wear,3
VLV-0025,VLV,1,597.53,2020-11-05,Leakage,4
VLV-0025,VLV,2,1158.36,2022-05-20,Wear,5
VLV-0025,VLV,3,2483.5,2026-01-04,Fouling,3
VLV-0026,VLV,1,323.15,2015-08-28,Wear,2
VLV-0026,VLV,2,594.98,2016-05-25,Bearing Failure,3
VLV-0026,VLV,3,1007.31,2017-07-12,Fatigue,3
VLV-0026,VLV,4,1324.58,2018-05-25,Leakage,2
VLV-0026,VLV,5,1446.4,2018-09-24,Bearing Failure,4
VLV-0026,VLV,6,1587.66,2019-02-12,Blockage,2
VLV-0027,VLV,1,1981.06,2026-10-01,Seal Failure,3
VLV-0027,VLV,2,2573.12,2026-10-01,Leakage,4
VLV-0027,VLV,3,2693.04,2026-10-01,Corrosion,4
VLV-0028,VLV,1,2206.15,2020-03-09,Wear,2
VLV-0028,VLV,2,2704.9,2021-07-20,Blockage,3
VLV-0028,VLV,3,2748.34,2021-09-02,Bearing Failure,1
VLV-0029,VLV,1,72.71,2022-09-11,Bearing Failure,5
VLV-0029,VLV,2,444.92,2023-09-18,Seal Failure,1
VLV-0029,VLV,3,452.37,2023-09-26,Fouling,1
VLV-0029,VLV,4,648.86,2024-04-09,Fouling,1
VLV-0029,VLV,5,903.88,2024-12-20,Bearing Failure,2
VLV-0030,VLV,1,232.59,2018-12-17,Blockage,5
VLV-0030,VLV,2,894.77,2020-10-09,Leakage,1
VLV-0030,VLV,3,1260.57,2021-10-10,Fatigue,5
VLV-0031,VLV,1,450.93,2014-11-04,Corrosion,2
VLV-0031,VLV,2,694.49,2015-07-06,Blockage,1
VLV-0031,VLV,3,1382.36,2017-05-24,Blockage,4
VLV-0031,VLV,4,1428.86,2017-07-09,Blockage,5
VLV-0032,VLV,1,450.62,2018-07-19,Corrosion,2
VLV-0032,VLV,2,756.72,2019-05-21,Corrosion,1
VLV-0032,VLV,3,2089.03,2023-01-13,Wear,1
VLV-0033,VLV,1,300.76,2021-05-03,Wear,1
VLV-0033,VLV,2,750.02,2022-07-27,Blockage,1
VLV-0034,VLV,1,605.7,2021-06-13,Corrosion,3
VLV-0034,VLV,2,1021.0,2022-08-02,Leakage,4
VLV-0035,VLV,1,32.09,2013-09-14,Leakage,1
VLV-0035,VLV,2,671.88,2015-06-15,Bearing Failure,3
VLV-0035,VLV,3,1004.41,2016-05-13,Blockage,2
VLV-0035,VLV,4,3233.56,2022-06-20,Bearing Failure,3
VLV-0036,VLV,1,397.15,2020-06-27,Bearing Failure,3
VLV-0036,VLV,2,910.75,2021-11-22,Fouling,4
VLV-0036,VLV,3,1527.66,2023-08-01,Fatigue,1
VLV-0036,VLV,4,1841.45,2024-06-10,Fouling,1
VLV-0037,VLV,1,316.98,2023-04-22,Leakage,4
VLV-0037,VLV,2,805.31,2024-08-23,Fatigue,3
VLV-0038,VLV,1,1052.05,2018-03-12,Corrosion,4
VLV-0038,VLV,2,1285.92,2018-10-31,Leakage,4
VLV-0039,VLV,1,701.24,2026-03-14,Bearing Failure,4
VLV-0039,VLV,2,717.47,2026-03-30,Leakage,5
VLV-0039,VLV,3,844.82,2026-08-04,Wear,5
VLV-0040,VLV,1,610.22,2026-06-28,Fatigue,4
VLV-0040,VLV,2,615.39,2026-07-03,Corrosion,3
VLV-0040,VLV,3,1150.26,2026-10-01,Bearing Failure,4
VLV-0040,VLV,4,1394.66,2026-10-01,Blockage,1
VLV-0040,VLV,5,3026.93,2026-10-01,Fatigue,5
VLV-0041,VLV,1,356.77,2024-09-06,Fatigue,2
VLV-0041,VLV,2,457.36,2024-12-16,Seal Failure,2
VLV-0041,VLV,3,1046.61,2026-07-28,Seal Failure,3
VLV-0041,VLV,4,1305.28,2026-10-01,Seal Failure,1
VLV-0042,VLV,1,329.95,2015-02-11,Corrosion,2
VLV-0042,VLV,2,700.45,2016-02-17,Bearing Failure,4
VLV-0042,VLV,3,902.24,2016-09-06,Bearing Failure,3
VLV-0042,VLV,4,1988.61,2019-08-28,Bearing Failure,4
VLV-0042,VLV,5,2234.54,2020-04-30,Wear,4
VLV-0043,VLV,1,265.25,2024-06-18,Fouling,3
VLV-0043,VLV,2,357.6,2024-09-18,Wear,5
VLV-0043,VLV,3,821.17,2025-12-26,Corrosion,2
VLV-0043,VLV,4,2395.8,2026-10-01,Fouling,5
VLV-0044,VLV,1,262.78,2013-08-01,Corrosion,5
VLV-0044,VLV,2,1005.49,2015-08-14,Leakage,3
VLV-0044,VLV,3,1201.85,2016-02-26,Seal Failure,1
VLV-0044,VLV,4,1277.47,2016-05-12,Leakage,5
VLV-0044,VLV,5,1624.39,2017-04-24,Fouling,3
VLV-0045,VLV,1,753.08,2023-10-31,Seal Failure,4
VLV-0045,VLV,2,822.37,2024-01-08,Blockage,5
VLV-0045,VLV,3,1097.03,2024-10-09,Fouling,5
VLV-0045,VLV,4,3529.45,2026-10-01,Seal Failure,4
VLV-0046,VLV,1,436.86,2024-10-18,Bearing Failure,1
VLV-0046,VLV,2,870.33,2025-12-26,Wear,3
VLV-0046,VLV,3,985.96,2026-04-20,Seal Failure,4
VLV-0046,VLV,4,1061.0,2026-07-05,Fouling,3
VLV-0046,VLV,5,1689.86,2026-10-01,Blockage,2
VLV-0047,VLV,1,164.9,2025-11-26,Fouling,5
VLV-0047,VLV,2,1162.17,2026-10-01,Blockage,3
VLV-0047,VLV,3,1374.2,2026-10-01,Fouling,3
VLV-0047,VLV,4,2385.42,2026-10-01,Corrosion,3
VLV-0048,VLV,1,126.48,2025-04-27,Wear,3
VLV-0048,VLV,2,1010.7,2026-10-01,Wear,4
VLV-0048,VLV,3,1069.57,2026-10-01,Fouling,2
VLV-0049,VLV,1,518.36,2026-06-04,Bearing Failure,4
VLV-0049,VLV,2,744.58,2026-10-01,Wear,2
VLV-0049,VLV,3,1486.91,2026-10-01,Seal Failure,5
VLV-0049,VLV,4,1789.74,2026-10-01,Corrosion,1
VLV-0049,VLV,5,2333.29,2026-10-01,Blockage,5
VLV-0050,VLV,1,387.24,2018-07-17,Bearing Failure,1
VLV-0050,VLV,2,536.96,2018-12-13,Fatigue,2
VLV-0051,VLV,1,279.48,2021-01-03,Fouling,2
VLV-0051,VLV,2,458.54,2021-07-01,Leakage,1
VLV-0051,VLV,3,575.04,2021-10-26,Corrosion,2
VLV-0051,VLV,4,1263.21,2023-09-14,Blockage,5
VLV-0051,VLV,5,1611.92,2024-08-27,Seal Failure,1
VLV-0052,VLV,1,187.87,2021-10-25,Leakage,2
VLV-0052,VLV,2,235.75,2021-12-12,Blockage,5
VLV-0052,VLV,3,1034.63,2024-02-19,Corrosion,4
VLV-0052,VLV,4,1459.14,2025-04-19,Fatigue,2
VLV-0052,VLV,5,2563.1,2026-10-01,Fatigue,4
VLV-0053,VLV,1,1063.97,2016-06-02,Seal Failure,4
VLV-0053,VLV,2,1159.1,2016-09-06,Blockage,1
VLV-0053,VLV,3,1487.17,2017-07-31,Blockage,1
VLV-0054,VLV,1,51.45,2013-12-25,Bearing Failure,4
VLV-0054,VLV,2,426.76,2015-01-04,Leakage,3
VLV-0054,VLV,3,1458.13,2017-11-01,Blockage,2
VLV-0054,VLV,4,2352.87,2020-04-13,Corrosion,2
VLV-0055,VLV,1,20.13,2023-04-08,Leakage,2
VLV-0055,VLV,2,344.73,2024-02-26,Fatigue,5
VLV-0055,VLV,3,863.18,2025-07-29,Fouling,2
VLV-0055,VLV,4,1038.12,2026-01-20,Blockage,3
VLV-0056,VLV,1,272.86,2023-03-09,Blockage,3
VLV-0056,VLV,2,863.24,2024-10-20,Leakage,5
VLV-0056,VLV,3,984.59,2025-02-18,Fatigue,1
VLV-0056,VLV,4,1254.08,2025-11-15,Fatigue,4
VLV-0056,VLV,5,1569.11,2026-09-26,Seal Failure,1
VLV-0056,VLV,6,1870.14,2026-10-01,Seal Failure,1
VLV-0057,VLV,1,337.57,2018-09-07,Bearing Failure,3
VLV-0057,VLV,2,728.94,2019-10-03,Fouling,4
VLV-0057,VLV,3,884.97,2020-03-07,Bearing Failure,5
VLV-0057,VLV,4,2488.1,2024-07-28,Fatigue,3
VLV-0058,VLV,1,760.89,2022-01-03,Corrosion,3
VLV-0058,VLV,2,1204.34,2023-03-23,Corrosion,3
VLV-0058,VLV,3,1524.46,2024-02-06,Leakage,5
VLV-0059,VLV,1,59.72,2020-09-07,Corrosion,1
VLV-0059,VLV,2,304.96,2021-05-10,Leakage,5
VLV-0059,VLV,3,1250.3,2023-12-12,Seal Failure,1
VLV-0059,VLV,4,1526.23,2024-09-13,Wear,5
VLV-0060,VLV,1,274.83,2019-03-05,Corrosion,2
VLV-0060,VLV,2,324.32,2019-04-24,Bearing Failure,5
VLV-0060,VLV,3,736.33,2020-06-09,Fatigue,4
VLV-0061,VLV,1,884.92,2016-07-06,Wear,5
VLV-0061,VLV,2,979.11,2016-10-09,Seal Failure,5
VLV-0062,VLV,1,901.18,2026-10-01,Leakage,1
VLV-0062,VLV,2,1206.24,2026-10-01,Corrosion,3
VLV-0063,VLV,1,260.6,2025-01-28,Fouling,4
VLV-0063,VLV,2,318.39,2025-03-27,Fouling,2
VLV-0063,VLV,3,437.84,2025-07-24,Wear,3
VLV-0063,VLV,4,693.43,2026-04-06,Leakage,4
VLV-0063,VLV,5,1169.89,2026-10-01,Blockage,1
VLV-0064,VLV,1,623.61,2015-08-28,Corrosion,3
VLV-0064,VLV,2,642.69,2015-09-16,Blockage,2
VLV-0065,VLV,1,943.06,2014-08-18,Corrosion,5
VLV-0065,VLV,2,1430.89,2015-12-18,Corrosion,5
VLV-0065,VLV,3,2391.1,2018-08-05,Bearing Failure,1
VLV-0065,VLV,4,2820.41,2019-10-08,Bearing Failure,1
VLV-0066,VLV,1,830.01,2016-10-20,Blockage,5
VLV-0066,VLV,2,1284.09,2018-01-17,Fouling,3
VLV-0066,VLV,3,1474.05,2018-07-26,Fatigue,5
VLV-0066,VLV,4,1542.04,2018-10-02,Fouling,4
VLV-0067,VLV,1,425.14,2017-12-04,Corrosion,4
VLV-0067,VLV,2,712.53,2018-09-17,Wear,1
VLV-0067,VLV,3,1330.34,2020-05-27,Fatigue,3
VLV-0068,VLV,1,352.56,2015-10-26,Wear,2
VLV-0068,VLV,2,356.17,2015-10-30,Fouling,3
VLV-0068,VLV,3,483.74,2016-03-05,Bearing Failure,2
VLV-0068,VLV,4,1019.24,2017-08-23,Seal Failure,4
VLV-0068,VLV,5,1428.93,2018-10-06,Leakage,3
VLV-0069,VLV,1,547.01,2019-10-01,Bearing Failure,1
VLV-0069,VLV,2,705.7,2020-03-07,Wear,5
VLV-0069,VLV,3,770.44,2020-05-11,Fouling,4
VLV-0069,VLV,4,1046.67,2021-02-11,Seal Failure,4
VLV-0069,VLV,5,1255.56,2021-09-08,Corrosion,1
VLV-0069,VLV,6,2253.86,2024-06-02,Wear,5
VLV-0070,VLV,1,289.21,2019-05-08,Fouling,1
VLV-0070,VLV,2,489.46,2019-11-24,Fouling,1
VLV-0070,VLV,3,575.48,2020-02-18,Corrosion,1
VLV-0071,VLV,1,154.85,2019-09-13,Blockage,3
VLV-0071,VLV,2,432.43,2020-06-17,Corrosion,4
VLV-0071,VLV,3,1013.84,2022-01-19,Blockage,3
VLV-0071,VLV,4,1112.67,2022-04-28,Wear,2
VLV-0071,VLV,5,1227.63,2022-08-21,Blockage,3
VLV-0071,VLV,6,1857.27,2024-05-12,Blockage,3
VLV-0072,VLV,1,460.08,2021-08-16,Leakage,4
VLV-0072,VLV,2,2674.07,2026-10-01,Blockage,1
VLV-0073,VLV,1,589.93,2023-08-21,Blockage,1
VLV-0073,VLV,2,624.29,2023-09-25,Seal Failure,4
VLV-0073,VLV,3,1028.77,2024-11-02,Wear,1
VLV-0073,VLV,4,1648.28,2026-07-15,Leakage,1
VLV-0073,VLV,5,1833.94,2026-10-01,Seal Failure,5
VLV-0073,VLV,6,1846.44,2026-10-01,Seal Failure,3
VLV-0074,VLV,1,402.01,2024-11-23,Seal Failure,3
VLV-0074,VLV,2,695.07,2025-09-12,Corrosion,4
VLV-0074,VLV,3,1000.39,2026-07-14,Bearing Failure,4
VLV-0074,VLV,4,1147.56,2026-10-01,Wear,4
VLV-0075,VLV,1,84.44,2020-02-24,Leakage,3
VLV-0075,VLV,2,355.42,2020-11-21,Fouling,4
VLV-0075,VLV,3,1060.31,2022-10-27,Seal Failure,3
VLV-0075,VLV,4,1137.3,2023-01-12,Fatigue,5
VLV-0075,VLV,5,1259.89,2023-05-14,Blockage,1
VLV-0076,VLV,1,325.26,2023-05-22,Fatigue,5
VLV-0076,VLV,2,622.95,2024-03-14,Corrosion,2
VLV-0076,VLV,3,1001.79,2025-03-28,Corrosion,4
VLV-0076,VLV,4,1867.71,2026-10-01,Fouling,3
VLV-0076,VLV,5,1907.94,2026-10-01,Blockage,3
VLV-0077,VLV,1,247.53,2021-04-20,Corrosion,5
VLV-0077,VLV,2,273.35,2021-05-16,Leakage,4
VLV-0077,VLV,3,663.25,2022-06-10,Fouling,1
VLV-0077,VLV,4,1355.34,2024-05-02,Leakage,4
VLV-0077,VLV,5,2273.23,2026-10-01,Corrosion,3
VLV-0078,VLV,1,199.34,2021-09-18,Blockage,1
VLV-0078,VLV,2,240.42,2021-10-29,Fatigue,1
VLV-0078,VLV,3,442.77,2022-05-19,Bearing Failure,4
VLV-0078,VLV,4,470.39,2022-06-16,Blockage,3
VLV-0078,VLV,5,1179.28,2024-05-25,Corrosion,3
VLV-0079,VLV,1,319.08,2017-01-11,Bearing Failure,5
VLV-0079,VLV,2,806.48,2018-05-13,Fatigue,2
VLV-0080,VLV,1,774.14,2023-09-19,Fouling,4
VLV-0080,VLV,2,1193.61,2024-11-11,Leakage,1
VLV-0081,VLV,1,441.17,2014-02-20,Fatigue,1
VLV-0081,VLV,2,890.03,2015-05-15,Leakage,4
VLV-0081,VLV,3,1239.07,2016-04-28,Seal Failure,2
VLV-0082,VLV,1,245.67,2019-09-11,Fouling,5
VLV-0082,VLV,2,412.11,2020-02-25,Blockage,2
VLV-0082,VLV,3,450.21,2020-04-03,Bearing Failure,1
VLV-0082,VLV,4,963.06,2021-08-29,Wear,2
VLV-0082,VLV,5,1774.55,2023-11-18,Blockage,4
VLV-0082,VLV,6,1828.43,2024-01-11,Fouling,2
VLV-0083,VLV,1,1158.88,2021-06-06,Corrosion,1
VLV-0083,VLV,2,1285.7,2021-10-11,Bearing Failure,1
VLV-0084,VLV,1,118.3,2014-03-15,Fatigue,3
VLV-0084,VLV,2,1132.04,2016-12-23,Corrosion,2
VLV-0085,VLV,1,536.93,2015-12-19,Fouling,3
VLV-0085,VLV,2,683.53,2016-05-14,Seal Failure,2
VLV-0085,VLV,3,758.52,2016-07-28,Fatigue,3
VLV-0085,VLV,4,777.82,2016-08-16,Wear,4
VLV-0086,VLV,1,489.44,2019-08-21,Fatigue,2
VLV-0086,VLV,2,570.56,2019-11-10,Bearing Failure,4
VLV-0086,VLV,3,660.31,2020-02-08,Wear,3
VLV-0086,VLV,4,714.27,2020-04-02,Wear,3
